id,terrain,water,food,resources,settle_score,why,q,r,elev_m,slope,precip,temp_c,soil,vegetation,rock
H+19+00,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",19,0,117.0,0.54,834.4,5.77,glacial till,boreal forest,Coastal sediment
H+20+00,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",20,0,121.0,0.28,826.1,5.81,glacial till,boreal forest,Coastal sediment
H+21+00,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",21,0,124.0,0.22,820.2,5.83,glacial till,boreal forest,Coastal sediment
H+22+00,lake,lake,modest,clay|fish,none,open water (lake/inland sea),22,0,123.0,0.49,815.1,5.85,glacial till,none/ocean,Coastal sediment
H+23+00,boreal,major_river,good,timber|clay|fish,town,"fresh water, adequate food, route access, major river",23,0,128.0,0.73,818.1,5.82,glacial till,boreal forest,Coastal sediment
H+24+00,boreal,river,modest,timber|metals,town,"fresh water, adequate food, route access",24,0,150.0,3.44,828.8,5.69,glacial till,boreal forest,Suture metamorphic
H+25+00,boreal,river,modest,timber|metals|gems,village,"fresh water, adequate food, route access",25,0,253.0,4.53,841.5,5.03,glacial till,boreal forest,Suture metamorphic
H+26+00,boreal,river,modest,timber|metals|gems,village,"fresh water, adequate food, route access",26,0,389.0,5.55,860.0,4.16,glacial till,boreal forest,Suture metamorphic
H+27+00,boreal,river,modest,timber|stone|metals|gems,village,"fresh water, adequate food, route access",27,0,555.0,6.51,960.2,3.08,glacial till,boreal forest,Suture metamorphic
H+28+00,boreal,river,modest,timber|stone|metals|gems,village,"fresh water, adequate food, route access",28,0,750.0,7.93,1088.4,1.79,glacial till,boreal forest,Suture metamorphic
H+29+00,boreal,river,modest,timber|stone|metals,village,"fresh water, adequate food, route access",29,0,988.0,7.93,1297.0,0.18,glacial till,boreal forest,Suture metamorphic
H+30+00,boreal,river,modest,timber|stone,village,"fresh water, adequate food, route access",30,0,1206.0,9.6,1421.3,-1.32,loam,boreal forest,Suture metamorphic
H+31+00,alpine,none,none,stone,none,no reliable fresh water; poor food; arid interior,31,0,1495.0,9.94,1895.4,-3.29,loam,alpine tundra,Suture metamorphic
H+32+00,hills,none,none,limestone_karst|stone,none,no reliable fresh water; poor food; arid interior,32,0,1793.0,10.11,2062.2,-5.32,mountain thin,alpine tundra,Suture metamorphic
H+33+00,high_mountains,none,none,none,none,no reliable fresh water; poor food; arid interior,33,0,2096.0,10.11,2127.7,-7.34,mountain thin,alpine tundra,Suture metamorphic
H+34+00,high_mountains,none,none,none,none,no reliable fresh water; poor food; arid interior,34,0,1905.0,9.74,633.2,-6.11,mountain thin,alpine tundra,Suture metamorphic
H+35+00,alpine,none,none,none,none,no reliable fresh water; poor food; arid interior,35,0,1613.0,9.84,491.3,-4.16,mountain thin,alpine tundra,Suture metamorphic
H+36+00,alpine,none,none,none,none,no reliable fresh water; poor food; arid interior,36,0,1345.0,9.34,620.0,-2.35,loam,alpine tundra,Suture metamorphic
H+37+00,boreal,none,modest,none,none,no reliable fresh water,37,0,1139.0,7.77,756.2,-0.94,glacial till,boreal forest,Suture metamorphic
H+38+00,boreal,river,modest,limestone_karst,village,"fresh water, adequate food, route access",38,0,906.0,7.77,808.6,0.62,glacial till,boreal forest,Suture metamorphic
H+39+00,boreal,river,modest,none,village,"fresh water, adequate food, route access",39,0,688.0,7.44,878.1,2.02,glacial till,boreal forest,Suture metamorphic
H+40+00,boreal,river,modest,none,village,"fresh water, adequate food, route access",40,0,486.0,7.17,936.6,3.32,glacial till,boreal forest,Suture metamorphic
H+41+00,boreal,major_river,good,fish,town,"fresh water, adequate food, route access, major river",41,0,311.0,6.5,964.7,4.45,glacial till,boreal forest,Suture metamorphic
H+42+00,marsh,major_river,good,fish|peat,town,"fresh water, strong food, route access, major river",42,0,184.0,5.02,978.6,5.27,peat/wetland,wetland/marsh,Suture metamorphic
H+43+00,marsh,major_river,good,fish|peat,town,"fresh water, strong food, route access, major river",43,0,129.0,5.27,998.9,5.63,peat/wetland,wetland/marsh,Coastal sediment
H+44+00,ocean,ocean,modest,fish,none,ocean,44,0,-29.0,5.81,1122.8,6.47,none/ocean,none/ocean,Oceanic basalt
H+45+00,ocean,ocean,modest,fish,none,ocean,45,0,-53.0,1.43,1132.2,6.45,none/ocean,none/ocean,Oceanic basalt
H+46+00,ocean,ocean,modest,fish,none,ocean,46,0,-81.0,1.35,1124.9,6.4,none/ocean,none/ocean,Oceanic basalt
H+47+00,ocean,ocean,modest,fish,none,ocean,47,0,-110.0,1.32,1112.9,6.35,none/ocean,none/ocean,Oceanic basalt
H+48+00,ocean,ocean,modest,fish,none,ocean,48,0,-128.0,1.29,1094.1,6.31,none/ocean,none/ocean,Oceanic basalt
H+49+00,ocean,ocean,modest,fish,none,ocean,49,0,-146.0,1.02,1071.6,6.29,none/ocean,none/ocean,Oceanic basalt
H+50+00,ocean,ocean,modest,fish,none,ocean,50,0,-155.0,3.66,1068.3,6.31,none/ocean,none/ocean,Oceanic basalt
H+51+00,ocean,ocean,modest,fish,none,ocean,51,0,-45.0,3.66,1066.7,6.36,none/ocean,none/ocean,Oceanic basalt
H+52+00,ocean,ocean,modest,fish,none,ocean,52,0,-60.0,0.7,1073.0,6.41,none/ocean,none/ocean,Oceanic basalt
H+53+00,ocean,ocean,modest,fish,none,ocean,53,0,-73.0,0.91,1089.8,6.46,none/ocean,none/ocean,Oceanic basalt
H+54+00,ocean,ocean,modest,fish,none,ocean,54,0,-77.0,0.79,1099.2,6.5,none/ocean,none/ocean,Oceanic basalt
H+55+00,ocean,ocean,modest,fish,none,ocean,55,0,-75.0,0.85,1097.8,6.51,none/ocean,none/ocean,Oceanic basalt
H+56+00,ocean,ocean,modest,fish,none,ocean,56,0,-101.0,1.39,1085.8,6.52,none/ocean,none/ocean,Oceanic basalt
H+57+00,ocean,ocean,modest,fish,none,ocean,57,0,-102.0,1.42,1053.1,6.51,none/ocean,none/ocean,Oceanic basalt
H+58+00,ocean,ocean,modest,fish,none,ocean,58,0,-102.0,1.6,1014.6,6.5,none/ocean,none/ocean,Oceanic basalt
H+59+00,ocean,ocean,modest,fish,none,ocean,59,0,-103.0,1.65,984.8,6.47,none/ocean,none/ocean,Oceanic basalt
H+60+00,ocean,ocean,modest,fish,none,ocean,60,0,-103.0,1.68,962.2,6.42,none/ocean,none/ocean,Oceanic basalt
H+61+00,ocean,ocean,modest,fish,none,ocean,61,0,-104.0,1.32,944.2,6.35,none/ocean,none/ocean,Oceanic basalt
H+62+00,ocean,ocean,modest,fish,none,ocean,62,0,-104.0,1.42,925.9,6.24,none/ocean,none/ocean,Oceanic basalt
H+63+00,ocean,ocean,modest,fish,none,ocean,63,0,-107.0,1.5,909.1,6.13,none/ocean,none/ocean,Oceanic basalt
H+64+00,ocean,ocean,modest,fish,none,ocean,64,0,-106.0,1.45,898.3,6.03,none/ocean,none/ocean,Oceanic basalt
H+65+00,ocean,ocean,modest,fish,none,ocean,65,0,-107.0,0.19,895.5,5.96,none/ocean,none/ocean,Oceanic basalt
H+66+00,ocean,ocean,modest,fish,none,ocean,66,0,-109.0,0.24,903.2,5.93,none/ocean,none/ocean,Oceanic basalt
H+67+00,ocean,ocean,modest,fish,none,ocean,67,0,-112.0,0.23,916.9,5.93,none/ocean,none/ocean,Oceanic basalt
H+68+00,ocean,ocean,modest,fish,none,ocean,68,0,-118.0,0.34,923.6,5.94,none/ocean,none/ocean,Oceanic basalt
H+69+00,ocean,ocean,modest,fish,none,ocean,69,0,-124.0,0.4,932.3,5.96,none/ocean,none/ocean,Oceanic basalt
H+70+00,ocean,ocean,modest,fish,none,ocean,70,0,-128.0,0.3,937.3,5.99,none/ocean,none/ocean,Oceanic basalt
H+71+00,ocean,ocean,modest,fish,none,ocean,71,0,-125.0,0.09,937.0,6.04,none/ocean,none/ocean,Oceanic basalt
H+72+00,ocean,ocean,modest,fish,none,ocean,72,0,-123.0,0.07,935.5,6.11,none/ocean,none/ocean,Oceanic basalt
H+73+00,ocean,ocean,modest,fish,none,ocean,73,0,-121.0,0.08,918.7,6.22,none/ocean,none/ocean,Oceanic basalt
H+74+00,ocean,ocean,modest,fish,none,ocean,74,0,-119.0,0.16,890.8,6.34,none/ocean,none/ocean,Oceanic basalt
H+75+00,ocean,ocean,modest,fish,none,ocean,75,0,-114.0,0.16,868.7,6.47,none/ocean,none/ocean,Oceanic basalt
H+76+00,ocean,ocean,modest,fish,none,ocean,76,0,-111.0,0.13,841.8,6.56,none/ocean,none/ocean,Oceanic basalt
H+77+00,ocean,ocean,modest,fish,none,ocean,77,0,-110.0,0.07,823.3,6.6,none/ocean,none/ocean,Oceanic basalt
H+78+00,ocean,ocean,modest,fish,none,ocean,78,0,-110.0,0.01,815.4,6.61,none/ocean,none/ocean,Oceanic basalt
H+79+00,ocean,ocean,modest,fish,none,ocean,79,0,-111.0,0.02,810.7,6.61,none/ocean,none/ocean,Oceanic basalt
H+00+01,ocean,ocean,modest,fish,none,ocean,0,1,-242.0,0.14,1002.9,6.29,none/ocean,none/ocean,Oceanic basalt
H+01+01,ocean,ocean,modest,fish,none,ocean,1,1,-238.0,0.26,1005.7,6.29,none/ocean,none/ocean,Oceanic basalt
H+02+01,ocean,ocean,modest,fish,none,ocean,2,1,-231.0,0.24,1010.5,6.29,none/ocean,none/ocean,Oceanic basalt
H+03+01,ocean,ocean,modest,fish,none,ocean,3,1,-226.0,0.23,1017.3,6.3,none/ocean,none/ocean,Oceanic basalt
H+04+01,ocean,ocean,modest,fish,none,ocean,4,1,-227.0,0.17,1029.9,6.29,none/ocean,none/ocean,Oceanic basalt
H+05+01,ocean,ocean,modest,fish,none,ocean,5,1,-231.0,0.13,1043.6,6.29,none/ocean,none/ocean,Oceanic basalt
H+06+01,ocean,ocean,modest,fish,none,ocean,6,1,-234.0,0.15,1041.6,6.27,none/ocean,none/ocean,Oceanic basalt
H+07+01,ocean,ocean,modest,fish,none,ocean,7,1,-231.0,0.32,1039.0,6.26,none/ocean,none/ocean,Oceanic basalt
H+08+01,ocean,ocean,modest,fish,none,ocean,8,1,-227.0,4.54,1044.0,6.25,none/ocean,none/ocean,Oceanic basalt
H+09+01,ocean,ocean,modest,fish,none,ocean,9,1,-224.0,4.42,1041.5,6.25,none/ocean,none/ocean,Oceanic basalt
H+10+01,ocean,ocean,modest,fish,none,ocean,10,1,-222.0,0.32,1032.9,6.27,none/ocean,none/ocean,Oceanic basalt
H+11+01,ocean,ocean,modest,fish,none,ocean,11,1,-221.0,0.19,1025.8,6.31,none/ocean,none/ocean,Oceanic basalt
H+12+01,ocean,ocean,modest,fish,none,ocean,12,1,-218.0,0.16,1017.8,6.37,none/ocean,none/ocean,Oceanic basalt
H+13+01,ocean,ocean,modest,fish,none,ocean,13,1,-217.0,5.25,1010.4,6.43,none/ocean,none/ocean,Oceanic basalt
H+14+01,ocean,ocean,modest,fish,none,ocean,14,1,-59.0,5.32,987.5,6.49,none/ocean,none/ocean,Oceanic basalt
H+15+01,ocean,ocean,modest,fish,none,ocean,15,1,-58.0,5.21,955.8,6.55,none/ocean,none/ocean,Oceanic basalt
H+16+01,ocean,ocean,modest,fish,none,ocean,16,1,-42.0,4.63,930.7,6.61,none/ocean,none/ocean,Oceanic basalt
H+17+01,forest,none,good,timber|clay,town,"fresh water, adequate food, route access",17,1,96.0,4.63,832.3,6.04,glacial till,temperate forest,Coastal sediment
H+18+01,forest,none,good,timber|clay,town,"fresh water, adequate food, route access",18,1,102.0,4.83,827.7,6.06,glacial till,temperate forest,Coastal sediment
H+19+01,forest,none,good,timber|clay,town,"fresh water, adequate food, route access",19,1,117.0,0.69,824.4,6.03,glacial till,temperate forest,Coastal sediment
H+20+01,boreal,none,modest,timber|clay,town,"fresh water, adequate food, route access",20,1,130.0,1.4,818.2,6.0,glacial till,boreal forest,Coastal sediment
H+21+01,forest,none,good,timber|clay,village,"adequate food, route access",21,1,131.0,1.35,813.9,6.03,glacial till,temperate forest,Coastal sediment
H+22+01,forest,none,good,timber|clay,village,"adequate food, route access",22,1,138.0,1.66,810.4,6.0,glacial till,temperate forest,Coastal sediment
H+23+01,boreal,major_river,good,timber|clay|fish,town,"fresh water, adequate food, route access, major river",23,1,144.0,1.75,814.4,5.96,glacial till,boreal forest,Coastal sediment
H+24+01,boreal,major_river,good,timber|metals|fish,town,"fresh water, adequate food, route access, major river",24,1,168.0,3.41,827.1,5.81,loam,boreal forest,Suture metamorphic
H+25+01,boreal,river,modest,timber|metals|gems,village,"fresh water, adequate food, route access",25,1,271.0,4.2,839.3,5.15,glacial till,boreal forest,Suture metamorphic
H+26+01,boreal,river,modest,timber|metals|gems,village,"fresh water, adequate food, route access",26,1,397.0,5.8,850.3,4.34,glacial till,boreal forest,Suture metamorphic
H+27+01,boreal,river,modest,timber|stone|metals|gems,village,"fresh water, adequate food, route access",27,1,571.0,6.76,956.8,3.2,glacial till,boreal forest,Suture metamorphic
H+28+01,boreal,river,modest,timber|stone|metals,village,"fresh water, adequate food, route access",28,1,773.0,7.55,1107.1,1.87,glacial till,boreal forest,Suture metamorphic
H+29+01,boreal,river,modest,timber|stone,village,"fresh water, adequate food, route access",29,1,1000.0,7.55,1303.8,0.34,glacial till,boreal forest,Suture metamorphic
H+30+01,boreal,river,modest,timber|stone,village,"fresh water, adequate food, route access",30,1,1217.0,9.39,1449.3,-1.14,loam,boreal forest,Suture metamorphic
H+31+01,alpine,none,none,stone,none,no reliable fresh water; poor food; arid interior,31,1,1498.0,9.96,1896.6,-3.05,loam,alpine tundra,Suture metamorphic
H+32+01,alpine,none,none,stone,none,no reliable fresh water; poor food; arid interior,32,1,1797.0,10.0,2094.4,-5.07,mountain thin,alpine tundra,Suture metamorphic
H+33+01,high_mountains,none,none,none,none,no reliable fresh water; poor food; arid interior,33,1,2097.0,10.0,2143.7,-7.08,mountain thin,alpine tundra,Suture metamorphic
H+34+01,high_mountains,none,none,none,none,no reliable fresh water; poor food; arid interior,34,1,1908.0,9.84,643.2,-5.86,mountain thin,alpine tundra,Suture metamorphic
H+35+01,hills,none,none,none,none,no reliable fresh water; poor food; arid interior,35,1,1625.0,10.32,507.1,-3.98,mountain thin,alpine tundra,Suture metamorphic
H+36+01,alpine,none,none,none,none,no reliable fresh water; poor food; arid interior,36,1,1351.0,9.97,610.6,-2.14,loam,alpine tundra,Suture metamorphic
H+37+01,boreal,none,modest,none,none,no reliable fresh water,37,1,1137.0,8.01,750.2,-0.69,loam,boreal forest,Suture metamorphic
H+38+01,boreal,none,modest,none,none,no reliable fresh water,38,1,911.0,8.39,815.5,0.81,loam,boreal forest,Suture metamorphic
H+39+01,boreal,none,modest,none,farmstead,"adequate food, route access",39,1,701.0,7.8,884.8,2.17,glacial till,boreal forest,Suture metamorphic
H+40+01,boreal,none,modest,none,farmstead,"adequate food, route access",40,1,506.0,7.55,942.6,3.42,glacial till,boreal forest,Suture metamorphic
H+41+01,boreal,none,modest,none,farmstead,"adequate food, route access",41,1,334.0,7.26,972.7,4.53,glacial till,boreal forest,Suture metamorphic
H+42+01,boreal,none,modest,none,village,"fresh water, adequate food, route access",42,1,203.0,5.88,973.9,5.37,glacial till,boreal forest,Suture metamorphic
H+43+01,marsh,wetland,modest,peat,village,"fresh water, adequate food, route access",43,1,145.0,5.81,986.0,5.75,peat/wetland,wetland/marsh,Coastal sediment
H+44+01,ocean,ocean,modest,fish,none,ocean,44,1,-10.0,6.37,1104.5,6.69,none/ocean,none/ocean,Oceanic basalt
H+45+01,ocean,ocean,modest,fish,none,ocean,45,1,-41.0,2.2,1112.1,6.67,none/ocean,none/ocean,Oceanic basalt
H+46+01,ocean,ocean,modest,fish,none,ocean,46,1,-70.0,2.07,1109.1,6.64,none/ocean,none/ocean,Oceanic basalt
H+47+01,ocean,ocean,modest,fish,none,ocean,47,1,-89.0,1.83,1102.6,6.6,none/ocean,none/ocean,Oceanic basalt
H+48+01,ocean,ocean,modest,fish,none,ocean,48,1,-115.0,2.13,1082.5,6.56,none/ocean,none/ocean,Oceanic basalt
H+49+01,ocean,ocean,modest,fish,none,ocean,49,1,-137.0,2.14,1057.1,6.55,none/ocean,none/ocean,Oceanic basalt
H+50+01,ocean,ocean,modest,fish,none,ocean,50,1,-149.0,3.66,1056.2,6.57,none/ocean,none/ocean,Oceanic basalt
H+51+01,ocean,ocean,modest,fish,none,ocean,51,1,-39.0,3.66,1070.8,6.61,none/ocean,none/ocean,Oceanic basalt
H+52+01,ocean,ocean,modest,fish,none,ocean,52,1,-46.0,2.75,1084.3,6.66,none/ocean,none/ocean,Oceanic basalt
H+53+01,ocean,ocean,modest,fish,none,ocean,53,1,-53.0,1.72,1096.9,6.71,none/ocean,none/ocean,Oceanic basalt
H+54+01,ocean,ocean,modest,fish,none,ocean,54,1,-57.0,1.68,1102.7,6.75,none/ocean,none/ocean,Oceanic basalt
H+55+01,ocean,ocean,modest,fish,none,ocean,55,1,-59.0,1.61,1094.4,6.76,none/ocean,none/ocean,Oceanic basalt
H+56+01,ocean,ocean,modest,fish,none,ocean,56,1,-64.0,1.64,1073.0,6.76,none/ocean,none/ocean,Oceanic basalt
H+57+01,ocean,ocean,modest,fish,none,ocean,57,1,-59.0,1.88,1043.1,6.75,none/ocean,none/ocean,Oceanic basalt
H+58+01,ocean,ocean,modest,fish,none,ocean,58,1,-54.0,1.97,1013.0,6.73,none/ocean,none/ocean,Oceanic basalt
H+59+01,ocean,ocean,modest,fish,none,ocean,59,1,-53.0,1.94,985.0,6.7,none/ocean,none/ocean,Oceanic basalt
H+60+01,ocean,ocean,modest,fish,none,ocean,60,1,-64.0,2.23,960.8,6.64,none/ocean,none/ocean,Oceanic basalt
H+61+01,ocean,ocean,modest,fish,none,ocean,61,1,-67.0,1.25,942.5,6.57,none/ocean,none/ocean,Oceanic basalt
H+62+01,ocean,ocean,modest,fish,none,ocean,62,1,-62.0,1.5,918.8,6.47,none/ocean,none/ocean,Oceanic basalt
H+63+01,ocean,ocean,modest,fish,none,ocean,63,1,-63.0,1.47,897.6,6.37,none/ocean,none/ocean,Oceanic basalt
H+64+01,ocean,ocean,modest,fish,none,ocean,64,1,-101.0,1.28,893.0,6.27,none/ocean,none/ocean,Oceanic basalt
H+65+01,ocean,ocean,modest,fish,none,ocean,65,1,-102.0,1.36,898.1,6.2,none/ocean,none/ocean,Oceanic basalt
H+66+01,ocean,ocean,modest,fish,none,ocean,66,1,-105.0,1.46,904.7,6.17,none/ocean,none/ocean,Oceanic basalt
H+67+01,ocean,ocean,modest,fish,none,ocean,67,1,-108.0,0.34,915.8,6.18,none/ocean,none/ocean,Oceanic basalt
H+68+01,ocean,ocean,modest,fish,none,ocean,68,1,-112.0,0.4,921.2,6.19,none/ocean,none/ocean,Oceanic basalt
H+69+01,ocean,ocean,modest,fish,none,ocean,69,1,-119.0,0.35,924.6,6.21,none/ocean,none/ocean,Oceanic basalt
H+70+01,ocean,ocean,modest,fish,none,ocean,70,1,-125.0,0.39,927.4,6.25,none/ocean,none/ocean,Oceanic basalt
H+71+01,ocean,ocean,modest,fish,none,ocean,71,1,-125.0,0.18,931.4,6.3,none/ocean,none/ocean,Oceanic basalt
H+72+01,ocean,ocean,modest,fish,none,ocean,72,1,-123.0,0.06,933.1,6.37,none/ocean,none/ocean,Oceanic basalt
H+73+01,ocean,ocean,modest,fish,none,ocean,73,1,-122.0,0.1,914.0,6.47,none/ocean,none/ocean,Oceanic basalt
H+74+01,ocean,ocean,modest,fish,none,ocean,74,1,-119.0,0.15,883.0,6.58,none/ocean,none/ocean,Oceanic basalt
H+75+01,ocean,ocean,modest,fish,none,ocean,75,1,-115.0,0.13,862.9,6.69,none/ocean,none/ocean,Oceanic basalt
H+76+01,ocean,ocean,modest,fish,none,ocean,76,1,-112.0,0.1,840.9,6.78,none/ocean,none/ocean,Oceanic basalt
H+77+01,ocean,ocean,modest,fish,none,ocean,77,1,-110.0,0.12,822.9,6.82,none/ocean,none/ocean,Oceanic basalt
H+78+01,ocean,ocean,modest,fish,none,ocean,78,1,-110.0,0.06,812.6,6.83,none/ocean,none/ocean,Oceanic basalt
H+79+01,ocean,ocean,modest,fish,none,ocean,79,1,-111.0,0.03,807.2,6.83,none/ocean,none/ocean,Oceanic basalt
H+00+02,ocean,ocean,modest,fish,none,ocean,0,2,-241.0,0.11,984.7,6.54,none/ocean,none/ocean,Oceanic basalt
H+01+02,ocean,ocean,modest,fish,none,ocean,1,2,-238.0,0.24,991.8,6.55,none/ocean,none/ocean,Oceanic basalt
H+02+02,ocean,ocean,modest,fish,none,ocean,2,2,-233.0,0.23,1004.4,6.56,none/ocean,none/ocean,Oceanic basalt
H+03+02,ocean,ocean,modest,fish,none,ocean,3,2,-230.0,0.14,1019.8,6.57,none/ocean,none/ocean,Oceanic basalt
H+04+02,ocean,ocean,modest,fish,none,ocean,4,2,-231.0,0.16,1042.2,6.59,none/ocean,none/ocean,Oceanic basalt
H+05+02,ocean,ocean,modest,fish,none,ocean,5,2,-232.0,0.19,1052.2,6.58,none/ocean,none/ocean,Oceanic basalt
H+06+02,ocean,ocean,modest,fish,none,ocean,6,2,-233.0,0.15,1038.2,6.57,none/ocean,none/ocean,Oceanic basalt
H+07+02,ocean,ocean,modest,fish,none,ocean,7,2,-234.0,0.24,1033.1,6.55,none/ocean,none/ocean,Oceanic basalt
H+08+02,ocean,ocean,modest,fish,none,ocean,8,2,-234.0,0.34,1038.3,6.54,none/ocean,none/ocean,Oceanic basalt
H+09+02,ocean,ocean,modest,fish,none,ocean,9,2,-232.0,0.32,1035.2,6.53,none/ocean,none/ocean,Oceanic basalt
H+10+02,ocean,ocean,modest,fish,none,ocean,10,2,-226.0,0.32,1036.0,6.55,none/ocean,none/ocean,Oceanic basalt
H+11+02,ocean,ocean,modest,fish,none,ocean,11,2,-219.0,0.25,1039.8,6.59,none/ocean,none/ocean,Oceanic basalt
H+12+02,ocean,ocean,modest,fish,none,ocean,12,2,-214.0,5.53,1022.7,6.64,none/ocean,none/ocean,Oceanic basalt
H+13+02,ocean,ocean,modest,fish,none,ocean,13,2,-62.0,5.15,998.0,6.7,none/ocean,none/ocean,Oceanic basalt
H+14+02,ocean,ocean,modest,fish,none,ocean,14,2,-64.0,0.37,976.7,6.77,none/ocean,none/ocean,Oceanic basalt
H+15+02,ocean,ocean,modest,fish,none,ocean,15,2,-53.0,0.38,959.0,6.83,none/ocean,none/ocean,Oceanic basalt
H+16+02,ocean,ocean,modest,fish,none,ocean,16,2,-42.0,4.61,941.4,6.89,none/ocean,none/ocean,Oceanic basalt
H+17+02,ocean,ocean,modest,fish,none,ocean,17,2,-43.0,4.83,913.6,6.94,none/ocean,none/ocean,Oceanic basalt
H+18+02,forest,none,good,timber|clay,town,"fresh water, adequate food, route access",18,2,96.0,4.99,816.1,6.37,glacial till,temperate forest,Coastal sediment
H+19+02,forest,none,good,timber|clay,town,"fresh water, adequate food, route access",19,2,115.0,5.27,814.9,6.3,glacial till,temperate forest,Coastal sediment
H+20+02,boreal,none,modest,timber|clay,town,"fresh water, adequate food, route access",20,2,172.0,1.99,812.6,5.98,sandy coastal,boreal forest,Coastal sediment
H+21+02,forest,none,good,timber|clay,town,"fresh water, adequate food, route access",21,2,171.0,1.73,811.5,6.01,sandy coastal,temperate forest,Coastal sediment
H+22+02,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",22,2,187.0,1.66,811.4,5.92,sandy coastal,boreal forest,Coastal sediment
H+23+02,boreal,none,modest,timber|clay,farmstead,"adequate food, route access",23,2,197.0,1.75,817.2,5.86,sandy coastal,boreal forest,Coastal sediment
H+24+02,boreal,major_river,good,timber|metals|fish,town,"fresh water, adequate food, route access, major river",24,2,211.0,3.31,831.8,5.76,glacial till,boreal forest,Suture metamorphic
H+25+02,boreal,river,modest,timber|metals|gems,village,"fresh water, adequate food, route access",25,2,310.0,4.14,842.5,5.11,glacial till,boreal forest,Suture metamorphic
H+26+02,boreal,river,modest,timber|stone|metals,village,"fresh water, adequate food, route access",26,2,434.0,5.92,856.2,4.3,glacial till,boreal forest,Suture metamorphic
H+27+02,boreal,river,modest,timber|stone|metals,village,"fresh water, adequate food, route access",27,2,612.0,6.75,965.7,3.13,glacial till,boreal forest,Suture metamorphic
H+28+02,boreal,river,modest,timber|stone|metals,village,"fresh water, adequate food, route access",28,2,814.0,7.69,1135.3,1.81,glacial till,boreal forest,Suture metamorphic
H+29+02,boreal,river,modest,timber|stone,village,"fresh water, adequate food, route access",29,2,1045.0,7.69,1380.9,0.28,glacial till,boreal forest,Suture metamorphic
H+30+02,boreal,river,modest,timber|stone,village,"fresh water, adequate food, route access",30,2,1259.0,9.4,1514.7,-1.16,loam,boreal forest,Suture metamorphic
H+31+02,alpine,none,none,stone,none,no reliable fresh water; poor food; arid interior,31,2,1541.0,9.81,1995.8,-3.05,mountain thin,alpine tundra,Suture metamorphic
H+32+02,high_mountains,none,none,none,none,no reliable fresh water; poor food; arid interior,32,2,1835.0,9.81,2130.4,-5.02,mountain thin,alpine tundra,Suture metamorphic
