id,q,r,elevation_m,slope,lithology,mountain_type,glacial_scar,glacial,endorheic,geology_resource_tag,plate,land
H+43+00,43,0,129,5.271,coastal_sediment,none,rebound_coast,true,false,,1,1
H+44+00,44,0,-29,5.808,oceanic_basalt,none,,false,false,,1,0
H+45+00,45,0,-53,1.43,oceanic_basalt,none,,false,false,,1,0
H+46+00,46,0,-81,1.351,oceanic_basalt,none,,false,false,,1,0
H+47+00,47,0,-110,1.322,oceanic_basalt,none,,false,false,,1,0
H+48+00,48,0,-128,1.292,oceanic_basalt,none,,false,false,,1,0
H+49+00,49,0,-146,1.024,oceanic_basalt,none,,false,false,,1,0
H+50+00,50,0,-155,3.664,oceanic_basalt,none,,false,false,,1,0
H+51+00,51,0,-45,3.664,oceanic_basalt,none,,false,false,,1,0
H+52+00,52,0,-60,0.7,oceanic_basalt,none,,false,false,,1,0
H+53+00,53,0,-73,0.913,oceanic_basalt,none,,false,false,,1,0
H+54+00,54,0,-77,0.785,oceanic_basalt,none,,false,false,,1,0
H+55+00,55,0,-75,0.854,oceanic_basalt,none,,false,false,,1,0
H+56+00,56,0,-101,1.392,oceanic_basalt,none,,false,false,,1,0
H+57+00,57,0,-102,1.419,oceanic_basalt,none,,false,false,,1,0
H+58+00,58,0,-102,1.602,oceanic_basalt,none,,false,false,,1,0
H+59+00,59,0,-103,1.649,oceanic_basalt,none,,false,false,,1,0
H+60+00,60,0,-103,1.678,oceanic_basalt,none,,false,false,,1,0
H+61+00,61,0,-104,1.317,oceanic_basalt,none,,false,false,,1,0
H+62+00,62,0,-104,1.415,oceanic_basalt,none,,false,false,,1,0
H+63+00,63,0,-107,1.495,oceanic_basalt,none,,false,false,,1,0
H+64+00,64,0,-106,1.448,oceanic_basalt,none,,false,false,,1,0
H+65+00,65,0,-107,0.192,oceanic_basalt,none,,false,false,,1,0
H+66+00,66,0,-109,0.238,oceanic_basalt,none,,false,false,,1,0
H+67+00,67,0,-112,0.232,oceanic_basalt,none,,false,false,,1,0
H+68+00,68,0,-118,0.34,oceanic_basalt,none,,false,false,,1,0
H+69+00,69,0,-124,0.403,oceanic_basalt,none,,false,false,,1,0
H+70+00,70,0,-128,0.302,oceanic_basalt,none,,false,false,,1,0
H+71+00,71,0,-125,0.087,oceanic_basalt,none,,false,false,,1,0
H+72+00,72,0,-123,0.075,oceanic_basalt,none,,false,false,,1,0
H+73+00,73,0,-121,0.08,oceanic_basalt,none,,false,false,,1,0
H+74+00,74,0,-119,0.157,oceanic_basalt,none,,false,false,,1,0
H+75+00,75,0,-114,0.157,oceanic_basalt,none,,false,false,,1,0
H+76+00,76,0,-111,0.128,oceanic_basalt,none,,false,false,,1,0
H+77+00,77,0,-110,0.067,oceanic_basalt,none,,false,false,,1,0
H+78+00,78,0,-110,0.014,oceanic_basalt,none,,false,false,,1,0
H+79+00,79,0,-111,0.019,oceanic_basalt,none,,false,false,,1,0
H+00+01,0,1,-242,0.142,oceanic_basalt,none,,false,false,,0,0
H+01+01,1,1,-238,0.258,oceanic_basalt,none,,false,false,,0,0
H+02+01,2,1,-231,0.242,oceanic_basalt,none,,false,false,,0,0
H+03+01,3,1,-226,0.225,oceanic_basalt,none,,false,false,,0,0
H+04+01,4,1,-227,0.165,oceanic_basalt,none,,false,false,,0,0
H+05+01,5,1,-231,0.127,oceanic_basalt,none,,false,false,,0,0
H+06+01,6,1,-234,0.149,oceanic_basalt,none,,false,false,,0,0
H+07+01,7,1,-231,0.316,oceanic_basalt,none,,false,false,,0,0
H+08+01,8,1,-227,4.539,oceanic_basalt,none,,false,false,,0,0
H+09+01,9,1,-224,4.418,oceanic_basalt,none,,false,false,,0,0
H+10+01,10,1,-222,0.323,oceanic_basalt,none,,false,false,,0,0
H+11+01,11,1,-221,0.192,oceanic_basalt,none,,false,false,,0,0
H+12+01,12,1,-218,0.156,oceanic_basalt,none,,false,false,,0,0
H+13+01,13,1,-217,5.245,oceanic_basalt,none,,false,false,,0,0
H+14+01,14,1,-59,5.321,oceanic_basalt,none,,false,false,,0,0
H+15+01,15,1,-58,5.214,oceanic_basalt,none,,false,false,,0,0
H+16+01,16,1,-42,4.627,oceanic_basalt,none,,false,false,,0,0
H+17+01,17,1,96,4.635,coastal_sediment,none,rebound_coast,true,false,,0,1
H+18+01,18,1,102,4.835,coastal_sediment,none,rebound_coast,true,false,,0,1
H+19+01,19,1,117,0.693,coastal_sediment,none,rebound_coast,true,false,,0,1
H+20+01,20,1,130,1.4,coastal_sediment,none,rebound_coast,true,false,,0,1
H+21+01,21,1,131,1.349,coastal_sediment,none,rebound_coast,true,false,,0,1
H+22+01,22,1,138,1.658,coastal_sediment,none,rebound_coast,true,false,,0,1
H+23+01,23,1,144,1.749,coastal_sediment,none,rebound_coast,true,false,,0,1
H+24+01,24,1,168,3.412,suture_metamorphic,collision,none,false,false,,0,1
H+25+01,25,1,271,4.199,suture_metamorphic,collision,moraine,true,false,,0,1
H+26+01,26,1,397,5.799,suture_metamorphic,collision,moraine,true,false,,0,1
H+27+01,27,1,571,6.763,suture_metamorphic,collision,moraine,true,false,,0,1
H+28+01,28,1,773,7.554,suture_metamorphic,collision,moraine,true,false,,0,1
H+29+01,29,1,1000,7.554,suture_metamorphic,collision,scoured_craton,true,false,,0,1
H+30+01,30,1,1217,9.388,suture_metamorphic,collision,none,false,false,,0,1
H+31+01,31,1,1498,9.96,suture_metamorphic,collision,none,false,false,,0,1
H+32+01,32,1,1797,9.999,suture_metamorphic,collision,none,false,false,,0,1
H+33+01,33,1,2097,9.999,suture_metamorphic,collision,none,false,false,,1,1
H+34+01,34,1,1908,9.835,suture_metamorphic,collision,none,false,false,,1,1
H+35+01,35,1,1625,10.324,suture_metamorphic,collision,none,false,false,,1,1
H+36+01,36,1,1351,9.969,suture_metamorphic,collision,none,false,false,,1,1
H+37+01,37,1,1137,8.013,suture_metamorphic,collision,none,false,false,,1,1
H+38+01,38,1,911,8.394,suture_metamorphic,collision,none,false,false,,1,1
H+39+01,39,1,701,7.8,suture_metamorphic,collision,moraine,true,false,,1,1
H+40+01,40,1,506,7.546,suture_metamorphic,collision,moraine,true,false,,1,1
H+41+01,41,1,334,7.262,suture_metamorphic,collision,outwash,true,false,,1,1
H+42+01,42,1,203,5.88,suture_metamorphic,collision,outwash,true,false,,1,1
H+43+01,43,1,145,5.808,coastal_sediment,none,rebound_coast,true,false,,1,1
H+44+01,44,1,-10,6.374,oceanic_basalt,none,,false,false,,1,0
H+45+01,45,1,-41,2.2,oceanic_basalt,none,,false,false,,1,0
H+46+01,46,1,-70,2.072,oceanic_basalt,none,,false,false,,1,0
H+47+01,47,1,-89,1.833,oceanic_basalt,none,,false,false,,1,0
H+48+01,48,1,-115,2.131,oceanic_basalt,none,,false,false,,1,0
H+49+01,49,1,-137,2.144,oceanic_basalt,none,,false,false,,1,0
H+50+01,50,1,-149,3.658,oceanic_basalt,none,,false,false,,1,0
H+51+01,51,1,-39,3.658,oceanic_basalt,none,,false,false,,1,0
H+52+01,52,1,-46,2.748,oceanic_basalt,none,,false,false,,1,0
H+53+01,53,1,-53,1.718,oceanic_basalt,none,,false,false,,1,0
H+54+01,54,1,-57,1.68,oceanic_basalt,none,,false,false,,1,0
H+55+01,55,1,-59,1.611,oceanic_basalt,none,,false,false,,1,0
H+56+01,56,1,-64,1.64,oceanic_basalt,none,,false,false,,1,0
H+57+01,57,1,-59,1.878,oceanic_basalt,none,,false,false,,1,0
H+58+01,58,1,-54,1.966,oceanic_basalt,none,,false,false,,1,0
H+59+01,59,1,-53,1.935,oceanic_basalt,none,,false,false,,1,0
H+60+01,60,1,-64,2.234,oceanic_basalt,none,,false,false,,1,0
H+61+01,61,1,-67,1.252,oceanic_basalt,none,,false,false,,1,0
H+62+01,62,1,-62,1.495,oceanic_basalt,none,,false,false,,1,0
H+63+01,63,1,-63,1.465,oceanic_basalt,none,,false,false,,1,0
H+64+01,64,1,-101,1.285,oceanic_basalt,none,,false,false,,1,0
H+65+01,65,1,-102,1.36,oceanic_basalt,none,,false,false,,1,0
H+66+01,66,1,-105,1.462,oceanic_basalt,none,,false,false,,1,0
H+67+01,67,1,-108,0.34,oceanic_basalt,none,,false,false,,1,0
H+68+01,68,1,-112,0.403,oceanic_basalt,none,,false,false,,1,0
H+69+01,69,1,-119,0.348,oceanic_basalt,none,,false,false,,1,0
H+70+01,70,1,-125,0.387,oceanic_basalt,none,,false,false,,1,0
H+71+01,71,1,-125,0.178,oceanic_basalt,none,,false,false,,1,0
H+72+01,72,1,-123,0.063,oceanic_basalt,none,,false,false,,1,0
H+73+01,73,1,-122,0.096,oceanic_basalt,none,,false,false,,1,0
H+74+01,74,1,-119,0.155,oceanic_basalt,none,,false,false,,1,0
H+75+01,75,1,-115,0.128,oceanic_basalt,none,,false,false,,1,0
H+76+01,76,1,-112,0.102,oceanic_basalt,none,,false,false,,1,0
H+77+01,77,1,-110,0.116,oceanic_basalt,none,,false,false,,1,0
H+78+01,78,1,-110,0.055,oceanic_basalt,none,,false,false,,1,0
H+79+01,79,1,-111,0.032,oceanic_basalt,none,,false,false,,1,0
H+00+02,0,2,-241,0.113,oceanic_basalt,none,,false,false,,0,0
H+01+02,1,2,-238,0.242,oceanic_basalt,none,,false,false,,0,0
H+02+02,2,2,-233,0.225,oceanic_basalt,none,,false,false,,0,0
H+03+02,3,2,-230,0.135,oceanic_basalt,none,,false,false,,0,0
H+04+02,4,2,-231,0.164,oceanic_basalt,none,,false,false,,0,0
H+05+02,5,2,-232,0.187,oceanic_basalt,none,,false,false,,0,0
H+06+02,6,2,-233,0.155,oceanic_basalt,none,,false,false,,0,0
H+07+02,7,2,-234,0.236,oceanic_basalt,none,,false,false,,0,0
H+08+02,8,2,-234,0.338,oceanic_basalt,none,,false,false,,0,0
H+09+02,9,2,-232,0.323,oceanic_basalt,none,,false,false,,0,0
H+10+02,10,2,-226,0.321,oceanic_basalt,none,,false,false,,0,0
H+11+02,11,2,-219,0.251,oceanic_basalt,none,,false,false,,0,0
H+12+02,12,2,-214,5.533,oceanic_basalt,none,,false,false,,0,0
H+13+02,13,2,-62,5.154,oceanic_basalt,none,,false,false,,0,0
H+14+02,14,2,-64,0.369,oceanic_basalt,none,,false,false,,0,0
H+15+02,15,2,-53,0.384,oceanic_basalt,none,,false,false,,0,0
H+16+02,16,2,-42,4.609,oceanic_basalt,none,,false,false,,0,0
H+17+02,17,2,-43,4.835,oceanic_basalt,none,,false,false,,0,0
H+18+02,18,2,96,4.991,coastal_sediment,none,rebound_coast,true,false,,0,1
H+19+02,19,2,115,5.268,coastal_sediment,none,rebound_coast,true,false,,0,1
H+20+02,20,2,172,1.986,coastal_sediment,none,none,false,false,,0,1
H+21+02,21,2,171,1.728,coastal_sediment,none,none,false,false,,0,1
H+22+02,22,2,187,1.658,coastal_sediment,none,none,false,false,,0,1
H+23+02,23,2,197,1.749,coastal_sediment,none,none,false,false,,0,1
H+24+02,24,2,211,3.305,suture_metamorphic,collision,moraine,true,false,,0,1
H+25+02,25,2,310,4.137,suture_metamorphic,collision,moraine,true,false,,0,1
H+26+02,26,2,434,5.921,suture_metamorphic,collision,moraine,true,false,,0,1
H+27+02,27,2,612,6.748,suture_metamorphic,collision,moraine,true,false,,0,1
H+28+02,28,2,814,7.686,suture_metamorphic,collision,moraine,true,false,,0,1
H+29+02,29,2,1045,7.686,suture_metamorphic,collision,scoured_craton,true,false,,0,1
H+30+02,30,2,1259,9.396,suture_metamorphic,collision,none,false,false,,0,1
H+31+02,31,2,1541,9.808,suture_metamorphic,collision,none,false,false,,0,1
H+32+02,32,2,1835,9.808,suture_metamorphic,collision,none,false,false,,0,1
H+33+02,33,2,2128,9.746,suture_metamorphic,collision,none,false,false,,1,1
H+34+02,34,2,1935,10.324,suture_metamorphic,collision,none,false,false,limestone_karst,1,1
H+35+02,35,2,1650,10.3,suture_metamorphic,collision,none,false,false,,1,1
H+36+02,36,2,1378,9.865,suture_metamorphic,collision,none,false,false,,1,1
H+37+02,37,2,1163,8.394,suture_metamorphic,collision,none,false,false,,1,1
H+38+02,38,2,935,8.242,suture_metamorphic,collision,none,false,false,,1,1
H+39+02,39,2,732,7.546,suture_metamorphic,collision,moraine,true,false,,1,1
H+40+02,40,2,552,7.262,suture_metamorphic,collision,moraine,true,false,,1,1
H+41+02,41,2,380,6.847,suture_metamorphic,collision,moraine,true,false,,1,1
H+42+02,42,2,245,5.651,suture_metamorphic,collision,outwash,true,false,,1,1
H+43+02,43,2,182,6.374,coastal_sediment,none,none,false,false,,1,1
H+44+02,44,2,25,6.322,coastal_sediment,none,rebound_coast,true,false,,1,1
H+45+02,45,2,-8,2.129,oceanic_basalt,none,,false,false,,1,0
H+46+02,46,2,-34,1.973,oceanic_basalt,none,,false,false,,1,0
H+47+02,47,2,-51,2.131,oceanic_basalt,none,,false,false,,1,0
H+48+02,48,2,-72,2.144,oceanic_basalt,none,,false,false,,1,0
H+49+02,49,2,-97,2.023,oceanic_basalt,none,,false,false,,1,0
H+50+02,50,2,-116,2.578,oceanic_basalt,none,,false,false,,1,0
H+51+02,51,2,-128,4.214,oceanic_basalt,none,,false,false,,1,0
H+52+02,52,2,-2,4.214,oceanic_basalt,none,,false,false,,1,0
H+53+02,53,2,-7,1.68,oceanic_basalt,none,,false,false,,1,0
H+54+02,54,2,-11,1.611,oceanic_basalt,none,,false,false,,1,0
H+55+02,55,2,-17,1.667,oceanic_basalt,none,,false,false,,1,0
H+56+02,56,2,-15,2.11,oceanic_basalt,none,,false,false,,1,0
H+57+02,57,2,-3,1.878,oceanic_basalt,none,,false,false,,1,0
H+58+02,58,2,5,1.966,coastal_sediment,none,rebound_coast,true,false,,1,1
H+59+02,59,2,3,2.234,coastal_sediment,none,rebound_coast,true,false,,1,1
H+60+02,60,2,-54,3.538,oceanic_basalt,none,,false,false,,1,0
H+61+02,61,2,-63,0.345,oceanic_basalt,none,,false,false,,1,0
H+62+02,62,2,-72,0.397,oceanic_basalt,none,,false,false,,1,0
H+63+02,63,2,-68,1.111,oceanic_basalt,none,,false,false,,1,0
H+64+02,64,2,-65,1.228,oceanic_basalt,none,,false,false,,1,0
H+65+02,65,2,-61,1.462,oceanic_basalt,none,,false,false,,1,0
H+66+02,66,2,-102,1.353,oceanic_basalt,none,,false,false,,1,0
H+67+02,67,2,-105,1.208,oceanic_basalt,none,,false,false,,1,0
H+68+02,68,2,-108,0.348,oceanic_basalt,none,,false,false,,1,0
H+69+02,69,2,-114,0.387,oceanic_basalt,none,,false,false,,1,0
H+70+02,70,2,-120,0.313,oceanic_basalt,none,,false,false,,1,0
H+71+02,71,2,-124,0.241,oceanic_basalt,none,,false,false,,1,0
H+72+02,72,2,-122,0.058,oceanic_basalt,none,,false,false,,1,0
H+73+02,73,2,-121,0.07,oceanic_basalt,none,,false,false,,1,0
H+74+02,74,2,-119,0.114,oceanic_basalt,none,,false,false,,1,0
H+75+02,75,2,-116,0.105,oceanic_basalt,none,,false,false,,1,0
H+76+02,76,2,-114,0.123,oceanic_basalt,none,,false,false,,1,0
H+77+02,77,2,-112,0.152,oceanic_basalt,none,,false,false,,1,0
H+78+02,78,2,-111,0.116,oceanic_basalt,none,,false,false,,1,0
H+79+02,79,2,-112,0.054,oceanic_basalt,none,,false,false,,1,0
H+00+03,0,3,-240,0.109,oceanic_basalt,none,,false,false,,0,0
H+01+03,1,3,-238,0.173,oceanic_basalt,none,,false,false,,0,0
H+02+03,2,3,-234,0.136,oceanic_basalt,none,,false,false,,0,0
H+03+03,3,3,-234,0.166,oceanic_basalt,none,,false,false,,0,0
H+04+03,4,3,-236,0.196,oceanic_basalt,none,,false,false,,0,0
H+05+03,5,3,-238,0.187,oceanic_basalt,none,,false,false,,0,0
H+06+03,6,3,-238,0.152,oceanic_basalt,none,,false,false,,0,0
H+07+03,7,3,-237,0.095,oceanic_basalt,none,,false,false,,0,0
H+08+03,8,3,-238,0.215,oceanic_basalt,none,,false,false,,0,0
H+09+03,9,3,-236,0.329,oceanic_basalt,none,,false,false,,0,0
H+10+03,10,3,-226,0.367,oceanic_basalt,none,,false,false,,0,0
H+11+03,11,3,-215,6.218,oceanic_basalt,none,,false,false,,0,0
H+12+03,12,3,-48,5.562,oceanic_basalt,none,,false,false,,0,0
H+13+03,13,3,-60,0.617,oceanic_basalt,none,,false,false,,0,0
H+14+03,14,3,-65,0.446,oceanic_basalt,none,,false,false,,0,0
H+15+03,15,3,-56,0.461,oceanic_basalt,none,,false,false,,0,0
H+16+03,16,3,-54,0.423,oceanic_basalt,none,,false,false,,0,0
H+17+03,17,3,-54,4.991,oceanic_basalt,none,,false,false,,0,0
H+18+03,18,3,-43,5.268,oceanic_basalt,none,,false,false,,0,0
H+19+03,19,3,112,5.155,coastal_sediment,none,rebound_coast,true,false,,0,1
H+20+03,20,3,218,7.929,coastal_sediment,none,outwash,true,false,,0,1
H+21+03,21,3,223,1.728,coastal_sediment,none,outwash,true,false,,0,1
H+22+03,22,3,229,1.409,coastal_sediment,none,moraine,true,false,,0,1
H+23+03,23,3,239,1.39,coastal_sediment,none,moraine,true,false,,0,1
H+24+03,24,3,255,3.229,suture_metamorphic,collision,moraine,true,false,,0,1
H+25+03,25,3,352,4.253,suture_metamorphic,collision,moraine,true,false,,0,1
H+26+03,26,3,480,5.869,suture_metamorphic,collision,moraine,true,false,,0,1
H+27+03,27,3,656,7.0,suture_metamorphic,collision,moraine,true,false,,0,1
H+28+03,28,3,866,7.537,suture_metamorphic,collision,moraine,true,false,,0,1
H+29+03,29,3,1092,7.537,suture_metamorphic,collision,scoured_craton,true,false,,0,1
H+30+03,30,3,1305,9.261,suture_metamorphic,collision,none,false,false,,0,1
H+31+03,31,3,1583,9.621,suture_metamorphic,collision,none,false,false,,0,1
H+32+03,32,3,1871,9.621,suture_metamorphic,collision,none,false,false,,0,1
H+33+03,33,3,2154,9.421,suture_metamorphic,collision,none,false,false,limestone_karst,1,1
H+34+03,34,3,1959,10.3,suture_metamorphic,collision,none,false,false,,1,1
H+35+03,35,3,1674,9.921,suture_metamorphic,collision,none,false,false,,1,1
H+36+03,36,3,1395,9.492,suture_metamorphic,collision,none,false,false,,1,1
H+37+03,37,3,1183,8.242,suture_metamorphic,collision,none,false,false,,1,1
H+38+03,38,3,957,7.51,suture_metamorphic,collision,scoured_craton,true,false,,1,1
H+39+03,39,3,758,7.467,suture_metamorphic,collision,moraine,true,false,,1,1
H+40+03,40,3,585,6.847,suture_metamorphic,collision,moraine,true,false,,1,1
H+41+03,41,3,415,6.554,suture_metamorphic,collision,moraine,true,false,,1,1
H+42+03,42,3,282,5.641,suture_metamorphic,collision,outwash,true,false,,1,1
H+43+03,43,3,215,6.322,coastal_sediment,none,outwash,true,false,,1,1
H+44+03,44,3,56,6.24,coastal_sediment,none,rebound_coast,true,false,,1,1
H+45+03,45,3,25,6.545,coastal_sediment,none,overdeep_basin;rebound_coast,true,false,,1,1
H+46+03,46,3,4,2.069,coastal_sediment,none,overdeep_basin;rebound_coast,true,false,,1,1
H+47+03,47,3,-18,2.255,oceanic_basalt,none,,false,false,,1,0
H+48+03,48,3,-36,2.084,oceanic_basalt,none,,false,false,,1,0
H+49+03,49,3,-57,1.981,oceanic_basalt,none,,false,false,,1,0
H+50+03,50,3,-76,1.963,oceanic_basalt,none,,false,false,,1,0
H+51+03,51,3,-86,5.762,oceanic_basalt,none,,false,false,,1,0
H+52+03,52,3,42,4.282,coastal_sediment,none,rebound_coast,true,false,,1,1
H+53+03,53,3,36,1.682,coastal_sediment,none,rebound_coast,true,false,,1,1
H+54+03,54,3,30,1.902,coastal_sediment,none,rebound_coast,true,false,,1,1
H+55+03,55,3,33,1.729,coastal_sediment,none,rebound_coast,true,false,,1,1
H+56+03,56,3,48,2.11,coastal_sediment,none,rebound_coast,true,false,,1,1
H+57+03,57,3,50,1.758,coastal_sediment,none,rebound_coast,true,false,,1,1
H+58+03,58,3,51,1.625,coastal_sediment,none,rebound_coast,true,false,,1,1
H+59+03,59,3,52,3.538,coastal_sediment,none,rebound_coast,true,false,,1,1
H+60+03,60,3,-53,4.981,oceanic_basalt,none,,false,false,,1,0
H+61+03,61,3,-61,0.43,oceanic_basalt,none,,false,false,,1,0
H+62+03,62,3,-73,0.43,oceanic_basalt,none,,false,false,,1,0
H+63+03,63,3,-80,0.479,oceanic_basalt,none,,false,false,,1,0
H+64+03,64,3,-78,0.549,oceanic_basalt,none,,false,false,,1,0
H+65+03,65,3,-71,1.022,oceanic_basalt,none,,false,false,,1,0
H+66+03,66,3,-68,1.208,oceanic_basalt,none,,false,false,,1,0
H+67+03,67,3,-102,1.211,oceanic_basalt,none,,false,false,,1,0
H+68+03,68,3,-105,1.311,oceanic_basalt,none,,false,false,,1,0
H+69+03,69,3,-110,0.351,oceanic_basalt,none,,false,false,,1,0
H+70+03,70,3,-117,0.372,oceanic_basalt,none,,false,false,,1,0
H+71+03,71,3,-123,0.38,oceanic_basalt,none,,false,false,,1,0
H+72+03,72,3,-122,0.163,oceanic_basalt,none,,false,false,,1,0
H+73+03,73,3,-120,0.081,oceanic_basalt,none,,false,false,,1,0
H+74+03,74,3,-118,0.087,oceanic_basalt,none,,false,false,,1,0
H+75+03,75,3,-117,0.123,oceanic_basalt,none,,false,false,,1,0
H+76+03,76,3,-116,0.152,oceanic_basalt,none,,false,false,,1,0
H+77+03,77,3,-114,0.116,oceanic_basalt,none,,false,false,,1,0
H+78+03,78,3,-113,0.09,oceanic_basalt,none,,false,false,,1,0
H+79+03,79,3,-113,0.069,oceanic_basalt,none,,false,false,,1,0
H+00+04,0,4,-237,0.111,oceanic_basalt,none,,false,false,,0,0
H+01+04,1,4,-236,0.097,oceanic_basalt,none,,false,false,,0,0
H+02+04,2,4,-237,0.116,oceanic_basalt,none,,false,false,,0,0
H+03+04,3,4,-239,0.21,oceanic_basalt,none,,false,false,,0,0
H+04+04,4,4,-242,0.196,oceanic_basalt,none,,false,false,,0,0
H+05+04,5,4,-241,0.128,oceanic_basalt,none,,false,false,,0,0
H+06+04,6,4,-238,0.103,oceanic_basalt,none,,false,false,,0,0
H+07+04,7,4,-237,0.051,oceanic_basalt,none,,false,false,,0,0
H+08+04,8,4,-238,0.114,oceanic_basalt,none,,false,false,,0,0
H+09+04,9,4,-235,0.35,oceanic_basalt,none,,false,false,,0,0
H+10+04,10,4,-224,6.52,oceanic_basalt,none,,false,false,,0,0
H+11+04,11,4,-29,6.52,oceanic_basalt,none,,false,false,,0,0
H+12+04,12,4,-42,0.617,oceanic_basalt,none,,false,false,,0,0
H+13+04,13,4,-51,0.737,oceanic_basalt,none,,false,false,,0,0
H+14+04,14,4,-55,0.72,oceanic_basalt,none,,false,false,,0,0
H+15+04,15,4,-53,0.673,oceanic_basalt,none,,false,false,,0,0
H+16+04,16,4,-58,0.314,oceanic_basalt,none,,false,false,,0,0
H+17+04,17,4,-52,0.418,oceanic_basalt,none,,false,false,,0,0
H+18+04,18,4,-39,5.045,oceanic_basalt,none,,false,false,,0,0
H+19+04,19,4,-19,9.469,oceanic_basalt,none,,false,false,,0,0
H+20+04,20,4,265,9.591,coastal_sediment,none,outwash,true,false,,0,1
H+21+04,21,4,270,1.577,coastal_sediment,none,outwash,true,false,,0,1
H+22+04,22,4,271,1.462,coastal_sediment,none,outwash,true,false,,0,1
H+23+04,23,4,275,1.35,coastal_sediment,none,outwash,true,false,,0,1
H+24+04,24,4,296,3.207,suture_metamorphic,collision,outwash,true,false,,0,1
H+25+04,25,4,393,4.478,suture_metamorphic,collision,moraine,true,false,,0,1
H+26+04,26,4,527,5.997,suture_metamorphic,collision,moraine,true,false,,0,1
H+27+04,27,4,707,6.905,suture_metamorphic,collision,moraine,true,false,,0,1
H+28+04,28,4,914,7.426,suture_metamorphic,collision,scoured_craton,true,false,,0,1
H+29+04,29,4,1137,7.426,suture_metamorphic,collision,scoured_craton,true,false,,0,1
H+30+04,30,4,1352,9.01,suture_metamorphic,collision,none,false,false,,0,1
H+31+04,31,4,1622,9.194,suture_metamorphic,collision,none,false,false,,0,1
H+32+04,32,4,1898,9.194,suture_metamorphic,collision,none,false,false,,0,1
H+33+04,33,4,2173,9.171,suture_metamorphic,collision,none,false,false,,1,1
